Name,Price,Old Price,Promo,Number of Colors,Color Image URLs,Main Image URL,Product Link
MULE,79.90 TND,N/A,No,2 Couleurs,"https://images.zen.com.tn/medias/folder_22_02_2024/8_U2_A5911a_ab1db9837b.webp, https://images.zen.com.tn/medias/folder_22_02_2024/8_U2_A5904a_cc35ec5c53.webp",https://images.zen.com.tn/medias/folder_22_02_2024/8_U2_A5911_1f5ad66835.webp,https://www.zen.com.tn/fr/produit/2536-mule
PANTOUFLE POUR FEMME,49.90 TND,N/A,No,2 Couleurs,"https://images.zen.com.tn/medias/folder_13_09_2023/8_U2_A3982a_807b12b7a5.webp, https://images.zen.com.tn/medias/folder_29_09_2023/8_U2_A6364a_7d094ef193.webp",https://images.zen.com.tn/medias/folder_13_09_2023/8_U2_A3951_6f06d5dd5f.webp,https://www.zen.com.tn/fr/produit/1454-pantoufle-pour-femme
PANTOUFLE,49.90 TND,N/A,No,2 Couleurs,"https://images.zen.com.tn/medias/folder_18_10_2024/8_U2_A3981a_8387912f9a.webp, https://images.zen.com.tn/medias/folder_18_10_2024/8_U2_A4003a_0cb45c9907.webp",https://images.zen.com.tn/medias/folder_18_10_2024/8_U2_A3968_926fe95936.webp,https://www.zen.com.tn/fr/produit/3880-pantoufle
SANDALE,89.90 TND,N/A,No,3 Couleurs,"https://images.zen.com.tn/medias/folder_11_06_2024/8_U2_A8467a_6aa3947b50.webp, https://images.zen.com.tn/medias/folder_11_06_2024/8_U2_A8474a_3523f76de1.webp, https://images.zen.com.tn/medias/folder_11_06_2024/8_U2_A8483a_28e01781f7.webp",https://images.zen.com.tn/medias/folder_13_06_2024/8_U2_A8466_19cc9ed899.webp,https://www.zen.com.tn/fr/produit/3309-sandale
SANDALE,79.90 TND,N/A,No,1 Couleurs,https://images.zen.com.tn/medias/folder_19_03_2024/8_U2_A0619a_8ab3fb8681.webp,https://images.zen.com.tn/medias/folder_19_03_2024/8_U2_A0591_3d81ec08c4.webp,https://www.zen.com.tn/fr/produit/2690-sandale
SANDALE,69.90 TND,N/A,No,1 Couleurs,https://images.zen.com.tn/medias/folder_07_03_2024/8_U2_A6256a_31fee28ffe.webp,https://images.zen.com.tn/medias/folder_07_03_2024/8_U2_A6245_b2ddc93533.webp,https://www.zen.com.tn/fr/produit/2547-sandale
TONGS,49.90 TND,N/A,No,2 Couleurs,"https://images.zen.com.tn/medias/folder_07_05_2024/8_U2_A0396aa_95a3ceee4c.webp, https://images.zen.com.tn/medias/folder_07_05_2024/8_U2_A0368aa_98db12b31c.webp",https://images.zen.com.tn/medias/folder_07_05_2024/8_U2_A0362_307a2d8e4c.webp,https://www.zen.com.tn/fr/produit/2939-tongs
TONGS,49.90 TND,N/A,No,2 Couleurs,"https://images.zen.com.tn/medias/folder_07_05_2024/8_U2_A0468a_49a169b451.webp, https://images.zen.com.tn/medias/folder_07_05_2024/8_U2_A0491a_9f5496eb50.webp",https://images.zen.com.tn/medias/folder_07_05_2024/8_U2_A0451_44be0dce3f.webp,https://www.zen.com.tn/fr/produit/2970-tongs
BALLERINE,62.93 TND,N/A,Promo,2 Couleurs,"https://images.zen.com.tn/medias/folder_11_10_2024/8_U2_A6802a_490b17a574.webp, https://images.zen.com.tn/medias/folder_11_10_2024/8_U2_A6746a_8017108477.webp",https://images.zen.com.tn/medias/folder_21_10_2024/8_U2_A7732_90bcada83f.webp,https://www.zen.com.tn/fr/produit/3875-ballerine
TONGS,49.90 TND,N/A,No,1 Couleurs,https://images.zen.com.tn/medias/folder_07_05_2024/8_U2_A0542a_7845579327.webp,https://images.zen.com.tn/medias/folder_07_05_2024/8_U2_A0518_ff9563b7b8.webp,https://www.zen.com.tn/fr/produit/3025-tongs
MULE,79.90 TND,N/A,No,1 Couleurs,https://images.zen.com.tn/medias/folder_22_02_2024/8_U2_A5940_1_8a86c79709.webp,https://images.zen.com.tn/medias/folder_22_02_2024/8_U2_A5933_f094e8a722.webp,https://www.zen.com.tn/fr/produit/2534-mule
N/A,N/A,N/A,No,N/A,,N/A,N/A
