Name,Price,Image URL,Number of Colors,Product Link,category
CEINTURE,49.90 TND,https://images.zen.com.tn/uploads/8_U2_A8557_09f6e9a97c.JPG,2 Couleurs,/fr/produit/4968-ceinture,homme
CEINTURE,49.90 TND,https://images.zen.com.tn/uploads/8_U2_A8573_aab76e1ded.JPG,1 Couleurs,/fr/produit/4967-ceinture,homme
POLO,34.93 TND  49.90 TND,https://images.zen.com.tn/uploads/8_U2_A0929_3659baa5ca.jpg,3 Couleurs,/fr/produit/4688-polo,homme
T SHIRT,39.90 TND,https://images.zen.com.tn/uploads/8_U2_A0665_b49e146596.jpg,1 Couleurs,/fr/produit/4945-t-shirt,homme
T SHIRT,45.90 TND,https://images.zen.com.tn/uploads/8_U2_A9667_0849571910.JPG,3 Couleurs,/fr/produit/4963-t-shirt,homme
T SHIRT,45.90 TND,https://images.zen.com.tn/uploads/8_U2_A0061_19a6ea9dae.jpg,3 Couleurs,/fr/produit/4951-t-shirt,homme
T SHIRT,39.90 TND,https://images.zen.com.tn/uploads/8_U2_A9475_18e260550b.JPG,3 Couleurs,/fr/produit/4949-t-shirt,homme
BERMUDA,45.90 TND,https://images.zen.com.tn/uploads/8_U2_A0352_0425ede0f2.jpg,3 Couleurs,/fr/produit/4925-bermuda,homme
T SHIRT,39.90 TND,https://images.zen.com.tn/uploads/8_U2_A0352_b96065d13d.jpg,3 Couleurs,/fr/produit/4924-t-shirt,homme
CHEMISE,69.90 TND,https://images.zen.com.tn/medias/folder_09_07_2024/8_U2_A1082_187187803e.webp,1 Couleurs,/fr/produit/3355-chemise,homme
CHEMISE,89.90 TND,https://images.zen.com.tn/uploads/8_U2_A1484_0509bad1d0.jpg,4 Couleurs,/fr/produit/4361-chemise,homme
PULL,20.93 TND  29.90 TND,https://images.zen.com.tn/uploads/8_U2_A8575_2e0f01188c.jpg,2 Couleurs,/fr/produit/3889-pull,homme
JEAN BOB,79.90 TND,https://images.zen.com.tn/uploads/8_U2_A0755_ab0aa74fc2.jpg,1 Couleurs,/fr/produit/4920-jean-bob,homme
T SHIRT,39.90 TND,https://images.zen.com.tn/uploads/8_U2_A8741_f854d46a8c.jpg,2 Couleurs,/fr/produit/4433-t-shirt,homme
PANTALON STRAIGHT,62.93 TND  89.90 TND,https://images.zen.com.tn/uploads/8_U2_A0929_f8d428e992.jpg,2 Couleurs,/fr/produit/4763-pantalon-straight,homme
CHEMISE,69.90 TND,https://images.zen.com.tn/medias/fx_folder_31_08_2024/8_U2_A6623_90c665ff31.webp,2 Couleurs,/fr/produit/3534-chemise,homme
CHEMISE,79.90 TND,https://images.zen.com.tn/medias/folder_30_07_2024/8_U2_A9187_dbc90b02d3.webp,2 Couleurs,/fr/produit/3455-chemise,homme
CHEMISE,79.90 TND,https://images.zen.com.tn/medias/images/8U2A9770.webp,5 Couleurs,/fr/produit/3574-chemise,homme
VESTE DE COSTUME,209.90 TND,https://images.zen.com.tn/uploads/BLEU_MARINE_6_406882e692.jpg,5 Couleurs,/fr/produit/4585-veste-de-costume,homme
T-SHIRT,35.90 TND,https://images.zen.com.tn/uploads/8_U2_A0179_ffd243db7c.jpg,3 Couleurs,/fr/produit/4355-t-shirt,homme
PANTALON DE COSTUME,79.90 TND,https://images.zen.com.tn/uploads/8_U2_A1578_26de6e9369.jpg,5 Couleurs,/fr/produit/4586-pantalon-de-costume,homme
CHEMISE,48.93 TND,https://images.zen.com.tn/medias/fx_folder_31_08_2024/8_U2_A6951_eb75e31bc2.webp,1 Couleurs,/fr/produit/3512-chemise,homme
CHEMISE,48.93 TND  69.90 TND,https://images.zen.com.tn/medias/folder_31_07_2024/8_U2_A2028_518de5b531.webp,1 Couleurs,/fr/produit/3511-chemise,homme
BASKET,129.90 TND,https://images.zen.com.tn/uploads/8_U2_A0914_60e6bc82b9.JPG,2 Couleurs,/fr/produit/4801-basket,homme
VESTE,90.93 TND,https://images.zen.com.tn/uploads/8_U2_A9759_89286fdc19.jpg,2 Couleurs,/fr/produit/4477-veste,homme
BASKET,129.90 TND,https://images.zen.com.tn/uploads/8_U2_A0959_aed5cfc82f.JPG,2 Couleurs,/fr/produit/4802-basket,homme
BASKET,119.90 TND,https://images.zen.com.tn/uploads/8_U2_A4481_a21e47af52.JPG,2 Couleurs,/fr/produit/4908-basket,homme
POLO,34.93 TND,https://images.zen.com.tn/uploads/8_U2_A1236_42f9d4e729.jpg,1 Couleurs,/fr/produit/4765-polo,homme
JEAN BOB,79.90 TND,https://images.zen.com.tn/uploads/8_U2_A8693_23be83a52a.jpg,1 Couleurs,/fr/produit/4692-jean-bob,homme
T SHIRT,49.90 TND,https://images.zen.com.tn/uploads/8_U2_A8236_de0b5d07f0.jpg,1 Couleurs,/fr/produit/4388-t-shirt,homme
T SHIRT,39.90 TND,https://images.zen.com.tn/uploads/8_U2_A7929_c704e22c85.jpg,1 Couleurs,/fr/produit/4420-t-shirt,homme
CHEMISE,69.90 TND,https://images.zen.com.tn/uploads/8_U2_A8195_962b0ddbff.jpg,1 Couleurs,/fr/produit/4234-chemise,homme
